1 DIRIC 0 0 0 2 1
2 DIRIC 0 1 0 3 4
3 DIRIC 0 0 1 7 5
4 DIRIC 0 1 1 8 6
5 DIRIC 0 0.25 0 12 18
6 DIRIC 0 0.5 0 13 19
7 DIRIC 0 0.75 0 14 20
8 DIRIC 0 0.25 1 27 21
9 DIRIC 0 0.5 1 28 22
10 DIRIC 0 0.75 1 29 23
11 DIRIC 0 0 0.25 39 33
12 DIRIC 0 0 0.5 40 34
13 DIRIC 0 0 0.75 41 35
14 DIRIC 0 1 0.25 42 36
15 DIRIC 0 1 0.5 43 37
16 DIRIC 0 1 0.75 44 38
17 DIRIC 0 0.391569 0.439276 85 58
18 DIRIC 0 0.67993 0.785261 86 59
19 DIRIC 0 0.186847 0.617206 87 60
20 DIRIC 0 0.623789 0.244201 88 61
21 DIRIC 0 0.205693 0.225334 89 62
22 DIRIC 0 0.828188 0.37327 90 63
23 DIRIC 0 0.64008 0.529787 91 64
24 DIRIC 0 0.8372 0.635553 92 65
25 DIRIC 0 0.420571 0.707755 93 66
26 DIRIC 0 0.402266 0.188541 94 67
27 DIRIC 0 0.853426 0.834163 95 68
28 DIRIC 0 0.840395 0.173494 96 69
29 DIRIC 0 0.160295 0.407558 97 70
30 DIRIC 0 0.226236 0.845827 98 0
