1 133 126 127 45
2 133 45 132 126
3 127 58 68 59
4 129 126 128 113
5 130 45 127 126
6 132 45 130 126
7 131 113 128 126
8 133 127 50 45
9 127 68 51 59
10 133 129 85 91
11 129 85 128 126
12 134 126 129 113
13 133 85 129 126
14 133 132 45 52
15 132 126 128 85
16 131 127 130 66
17 133 126 132 85
18 134 123 109 67
19 130 66 127 58
20 134 113 131 126
21 130 128 71 77
22 130 127 45 51
23 134 133 127 99
24 134 133 126 127
25 131 126 130 127
26 134 127 131 66
27 129 128 120 113
28 129 128 85 91
29 134 129 133 99
30 132 128 130 77
31 131 71 130 128
32 134 126 133 129
33 127 55 110 47
34 127 55 61 110
35 130 58 127 59
36 131 71 128 77
37 129 93 128 91
38 134 67 109 106
39 130 127 51 59
40 132 94 52 88
41 130 66 58 59
42 127 47 45 51
43 133 101 108 50
44 134 99 127 105
45 128 85 91 93
46 134 126 131 127
47 127 50 45 47
48 134 66 131 62
49 131 121 128 113
50 131 128 130 126
51 133 127 101 50
52 134 127 66 60
53 134 123 100 109
54 133 132 52 88
55 132 76 97 78
56 132 126 130 128
57 131 77 128 79
58 69 84 65 125
59 127 47 51 68
60 127 61 47 68
61 134 67 115 123
62 133 92 90 111
63 128 78 97 87
64 134 131 119 62
65 129 102 92 111
66 133 85 132 88
67 129 120 128 93
68 134 66 62 60
69 131 71 77 79
70 127 61 55 47
71 130 70 59 57
72 132 45 48 53
73 132 130 45 53
74 55 101 110 47
75 127 63 106 104
76 127 101 47 110
77 128 81 124 72
78 132 85 94 88
79 132 97 128 78
80 130 59 49 57
81 133 52 45 46
82 132 56 82 74
83 134 107 129 99
84 129 95 122 86
85 134 119 131 113
86 132 130 71 77
87 133 99 108 101
88 133 127 99 101
89 132 48 45 52
90 134 67 106 60
91 133 96 88 54
92 133 129 92 111
93 133 46 45 50
94 134 109 100 106
95 131 130 71 83
96 134 107 99 105
97 134 113 129 118
98 131 79 128 121
99 128 116 120 113
100 129 113 114 118
101 131 71 73 83
102 127 106 63 60
103 73 69 84 65
104 131 130 83 64
105 128 98 124 81
106 129 112 122 95
107 128 121 116 113
108 130 75 70 57
109 129 120 114 113
110 134 106 127 60
111 134 62 115 67
112 132 71 74 77
113 132 71 130 74
114 128 77 76 78
115 129 91 90 92
116 132 128 76 78
117 128 72 121 79
118 132 128 97 87
119 133 85 88 91
120 129 120 93 86
121 128 81 78 87
122 129 92 102 95
123 133 129 111 102
124 127 61 104 110
125 133 92 129 90
126 131 66 130 64
127 134 60 62 67
128 132 56 74 48
129 131 83 73 64
130 127 101 50 47
131 134 127 106 105
132 130 66 59 64
133 130 83 64 70
134 133 88 46 54
135 131 66 65 62
136 131 65 119 62
137 132 89 82 56
138 128 72 124 116
139 132 76 128 77
140 130 83 70 75
141 129 86 122 114
142 131 121 113 117
143 131 117 113 119
144 133 54 103 96
145 132 74 130 53
146 131 84 125 65
147 127 63 104 61
148 127 58 61 68
149 133 90 129 91
150 128 116 98 93
151 62 115 67 123
152 134 115 100 123
153 129 112 107 114
154 134 129 107 118
155 46 108 103 54
156 89 56 48 94
157 49 80 75 57
158 127 58 66 60
159 128 93 120 116
160 127 99 101 105
161 129 114 107 118
162 61 55 47 68
163 131 125 117 65
164 127 106 105 104
165 131 79 117 84
166 132 97 85 87
167 128 98 81 87
168 130 49 75 57
169 129 102 112 95
170 127 110 104 101
171 132 48 89 56
172 73 38 69 65
173 133 111 99 102
174 130 74 80 53
