1 133 126 127 45
2 133 132 126 45
3 127 58 68 59
4 129 126 128 113
5 130 45 127 126
6 132 45 130 126
7 131 113 128 126
8 133 127 52 45
9 127 68 50 59
10 133 129 85 91
11 129 85 128 126
12 134 126 129 113
13 133 85 129 126
14 133 53 132 45
15 132 126 128 85
16 131 127 130 66
17 133 126 132 85
18 134 109 67 122
19 130 66 127 58
20 134 113 131 126
21 130 77 128 71
22 130 127 45 50
23 134 133 127 99
24 134 133 126 127
25 131 126 130 127
26 134 127 131 66
27 129 128 121 113
28 129 128 85 91
29 134 129 133 99
30 132 128 130 77
31 131 130 128 71
32 134 126 133 129
33 127 110 46 54
34 127 61 110 54
35 130 58 127 59
36 131 128 77 71
37 129 93 128 91
38 134 67 109 106
39 130 127 50 59
40 132 94 53 88
41 130 66 58 59
42 127 46 45 50
43 133 102 108 52
44 134 99 127 105
45 128 85 91 93
46 134 126 131 127
47 127 52 45 46
48 134 66 131 62
49 131 119 128 113
50 131 128 130 126
51 133 127 102 52
52 134 60 127 66
53 134 100 109 122
54 133 132 53 88
55 132 76 97 78
56 132 126 130 128
57 131 77 128 79
58 84 69 123 65
59 127 46 50 68
60 127 61 46 68
61 134 67 114 122
62 133 90 111 92
63 128 78 97 87
64 134 131 118 62
65 129 92 111 101
66 133 85 132 88
67 129 121 128 93
68 134 60 66 62
69 131 77 79 71
70 127 46 61 54
71 130 55 70 59
72 132 51 45 49
73 132 51 130 45
74 110 54 102 46
75 127 63 106 104
76 127 110 102 46
77 128 81 125 72
78 132 85 94 88
79 132 97 128 78
80 130 47 55 59
81 133 48 53 45
82 132 82 73 57
83 134 107 129 99
84 129 95 124 86
85 134 118 131 113
86 132 130 71 77
87 133 99 108 102
88 133 127 99 102
89 132 53 49 45
90 134 67 106 60
91 133 96 88 56
92 133 111 129 92
93 133 48 45 52
94 134 106 109 100
95 131 83 130 71
96 134 107 99 105
97 134 113 129 120
98 131 128 119 79
99 128 121 113 117
100 129 113 116 120
101 131 83 71 74
102 127 60 106 63
103 84 69 65 74
104 131 64 130 83
105 128 125 81 98
106 129 124 95 112
107 128 117 113 119
108 130 75 70 55
109 129 113 121 116
110 134 106 127 60
111 134 114 67 62
112 132 71 73 77
113 132 71 130 73
114 128 76 78 77
115 129 90 92 91
